id,date_period,global_liquidity_tn$,monthly_change_gl,quarterly_change_gl,annual_change_gl,shadow_monetary_base_tn$,monthly_change_smb,annual_change_smb,quarterly_change_smb,monthly_change_gl_smb,quarterly_change_gl_smb,annual_change_gl_smb,monthly_change_gl_%,quarterly_change_gl_%,annual_change_gl_%,monthly_change_smb_%,quarterly_change_smb_%,annual_change_smb_%,monthly_change_gl_smb_%,quarterly_change_gl_smb_%,annual_change_gl_smb_%,collactural_multiplier
60,01/12/2014,106.07,-0.3500000000000085,-1.2700000000000102,-1.0400000000000063,64.00,0.3100000000000023,-0.4300000000000068,-1.2099999999999937,-0.040000000000020464,-2.480000000000018,-1.4700000000000273,0,-1,0,0.48673261108494625,-1.8555436282778621,-0.6673909669408766,-0.023514196696267392,-1.437264560996823,-0.8569429870584279,
61,01/01/2015,104.20,-1.8699999999999903,NULL,NULL,63.31,-0.6899999999999977,NULL,NULL,-2.5600000000000023,NULL,NULL,-1,NULL,NULL,-1.0781249999999964,NULL,NULL,-1.5052625389545495,NULL,NULL,
62,01/02/2015,104.56,0.35999999999999943,NULL,NULL,63.69,0.37999999999999545,NULL,NULL,0.7400000000000091,NULL,NULL,0,NULL,NULL,0.6002211341020304,NULL,NULL,0.4417646707659299,NULL,NULL,
63,01/03/2015,103.89,-0.6700000000000017,-2.1799999999999926,NULL,63.65,-0.03999999999999915,NULL,-0.3500000000000014,-0.710000000000008,-2.530000000000001,NULL,0,-2,NULL,-0.06280420788192675,-0.5468750000000022,NULL,-0.4219910846953985,-1.4876227435761753,NULL,
64,01/04/2015,106.27,2.3799999999999955,NULL,NULL,64.24,0.5899999999999963,NULL,NULL,2.969999999999999,NULL,NULL,2,NULL,NULL,0.9269442262372292,NULL,NULL,1.7727109943893988,NULL,NULL,
65,01/05/2015,105.59,-0.6799999999999926,NULL,NULL,63.31,-0.9299999999999926,NULL,NULL,-1.6099999999999852,NULL,NULL,0,NULL,NULL,-1.44769613947695,NULL,NULL,-0.9442261450941208,NULL,NULL,
66,01/06/2015,106.47,0.8799999999999955,2.5799999999999983,NULL,64.18,0.8700000000000045,NULL,0.5300000000000082,1.75,3.1100000000000136,NULL,0,2,NULL,1.3741904912336196,0.8326787117046477,NULL,1.0361160449970395,1.8562731288050698,NULL,
67,01/07/2015,106.58,0.10999999999999943,NULL,NULL,64.97,0.789999999999992,NULL,NULL,0.9000000000000057,NULL,NULL,0,NULL,NULL,1.2309130570270987,NULL,NULL,0.5273952534427223,NULL,NULL,
68,01/08/2015,106.04,-0.539999999999992,NULL,NULL,65.54,0.5700000000000074,NULL,NULL,0.030000000000001137,NULL,NULL,0,NULL,NULL,0.8773279975373364,NULL,NULL,0.01748761294083424,NULL,NULL,
69,01/09/2015,105.68,-0.35999999999999943,-0.789999999999992,NULL,64.75,-0.7900000000000063,NULL,0.5699999999999932,-1.1500000000000057,-0.21999999999999886,NULL,0,0,NULL,-1.2053707659444708,0.8881271424119557,NULL,-0.670241286863274,-0.12891883973044177,NULL,
70,01/10/2015,106.37,0.6899999999999977,NULL,NULL,65.68,0.9300000000000068,NULL,NULL,1.6200000000000045,NULL,NULL,0,NULL,NULL,1.4362934362934467,NULL,NULL,0.9505368773103352,NULL,NULL,
71,01/11/2015,105.27,-1.1000000000000085,NULL,NULL,64.56,-1.1200000000000045,NULL,NULL,-2.2200000000000273,NULL,NULL,-1,NULL,NULL,-1.7052375152253416,NULL,NULL,-1.290322580645177,NULL,NULL,
